,HighSchool,Graduate,College,11th,9th
0,19.993698,19.847246,20.245188,20.190113,19.723753
1,20.026966,19.870338,20.262562,20.015432,19.824694
2,19.798231,19.917982,20.206537,20.296495,19.780748
3,20.028822,20.103273,19.738508,20.02413,20.105265
4,19.763252,19.972822,20.111176,20.353655,19.7991
5,19.932436,19.869299,20.202469,20.301128,19.694666
6,20.112118,20.02878,19.991043,19.654898,20.213163
7,20.182184,19.866318,20.153458,19.959099,19.838945
8,20.132729,19.845427,20.187069,20.041252,19.793526
9,20.230476,20.058983,19.756626,19.824276,20.129637
10,20.09651,20.128656,19.752548,19.73811,20.284178
11,19.986067,19.888308,20.27025,19.980566,19.87481
12,19.794216,19.971666,20.119637,20.222958,19.891525
13,20.23817,19.911734,20.056707,19.874195,19.919197
14,19.901201,19.86743,20.24051,20.279356,19.711502
15,19.791199,19.951757,20.262856,20.107763,19.886427
16,19.913542,20.166212,19.824215,19.817638,20.278399
17,20.058613,20.145836,19.734133,19.823786,20.237633
18,20.020117,19.915047,20.241814,19.886261,19.936768
19,19.87393,20.07723,19.85023,20.21986,19.978758
20,20.278042,20.018562,19.853424,19.704779,20.145187
21,19.75826,19.944021,20.23204,20.252665,19.813017
22,20.133598,19.851816,20.180367,20.0083,19.825926
23,19.94256,20.159824,19.77087,19.871162,20.255583
24,20.072079,19.842386,20.210966,20.124569,19.75
25,20.189236,19.923666,20.099901,19.763788,20.023407
26,20.090454,20.124397,19.810389,19.673351,20.301413
27,19.818037,20.079527,20.078465,19.8659,20.15808
28,20.002335,20.0939,19.890509,19.741127,20.272125
29,19.941442,20.094261,19.79425,20.13416,20.03589
30,20.252113,20.02039,19.782501,19.885078,20.059923
31,19.806839,19.91162,20.27148,20.214556,19.795504
32,20.279562,19.973742,19.941277,19.733866,20.071556
33,19.74884,20.102703,20.0257,20.05489,20.067862
34,19.73391,20.106365,19.974365,20.11434,20.071026
35,20.08813,19.919249,19.971916,20.238192,19.782518
36,20.034964,19.85794,20.258057,20.063028,19.786007
37,20.11122,20.120598,19.714823,19.836565,20.216803
38,20.100153,19.959747,20.131567,19.7446,20.063934
39,19.76648,19.957027,20.244213,20.140429,19.891853
40,20.093863,19.968243,20.126669,19.752817,20.058407
41,19.71024,20.060032,20.07119,20.141964,20.016567
42,20.274105,19.9436,19.955334,19.79527,20.0317
43,19.797997,20.137001,19.890911,20.008404,20.165678
44,19.70788,20.058485,20.08357,20.14604,20.004025
45,20.277012,20.001228,19.813375,19.86318,20.045202
46,20.199808,20.088137,19.75227,19.767145,20.19264
47,20.237164,19.887255,20.013159,20.030361,19.832062
48,19.754335,19.95555,20.168167,20.328587,19.793367
49,20.25744,20.017931,19.842999,19.71593,20.165691
50,19.871443,19.94579,20.05215,20.376978,19.753637
51,19.795835,20.094091,20.027054,19.909777,20.173246
52,20.034683,19.904509,20.024002,20.293226,19.743582
53,20.036797,20.14802,19.729843,19.839567,20.245773
54,20.216936,19.870932,20.112185,19.946047,19.853895
55,19.981081,19.94681,20.22324,19.866634,19.982231
56,20.025692,19.875166,20.092554,20.282642,19.723942
57,20.003548,19.91898,20.02963,20.305265,19.74258
58,20.05076,20.1344,19.811287,19.685932,20.31762
59,20.193659,19.8577,20.10731,20.030474,19.810863
