,Male,Female
0,49.905285,50.09472
1,49.837547,50.162453
2,49.911564,50.088436
3,49.42636,50.573635
4,50.234425,49.76558
5,50.14897,49.851032
6,49.422775,50.577225
7,50.36675,49.633255
8,50.08328,49.916718
9,50.347095,49.65291
10,49.67223,50.327766
11,49.634712,50.365288
12,49.664734,50.335266
13,49.492107,50.507893
14,49.901115,50.098877
15,50.309998,49.69
16,50.32109,49.67891
17,49.71772,50.28228
18,50.215935,49.78406
19,50.100494,49.89951
20,49.79314,50.206863
21,50.131058,49.868942
22,49.77833,50.221676
23,50.18051,49.81949
24,50.545597,49.4544
25,50.391876,49.60812
26,49.971905,50.02809
27,49.605476,50.394524
28,50.44843,49.551567
29,50.188923,49.811077
30,50.25925,49.740746
31,50.430775,49.569225
32,50.02787,49.97213
33,49.94164,50.058365
34,50.116615,49.88339
35,50.17768,49.822323
36,49.967163,50.03284
37,49.607693,50.392307
38,49.51835,50.48165
39,49.76451,50.235493
40,49.669445,50.330555
41,50.081738,49.91827
42,50.21261,49.787388
43,49.712494,50.287502
44,49.568634,50.43136
45,49.801453,50.198544
46,49.688232,50.311768
47,49.803337,50.196667
48,50.158848,49.841152
49,50.26455,49.73545
50,50.55828,49.44172
51,50.35638,49.643627
52,50.418167,49.581833
53,49.93748,50.06252
54,50.388603,49.611397
55,50.012367,49.98763
56,50.087746,49.91226
57,49.553688,50.446312
58,50.002068,49.99793
59,49.490974,50.50903
60,50.313652,49.686344
61,50.37367,49.62633
62,50.451668,49.548332
63,49.80611,50.193893
64,49.93865,50.06135
65,50.338257,49.661743
66,49.686047,50.31395
67,49.962593,50.037407
68,49.706486,50.29352
69,50.106792,49.893208
70,49.855278,50.144722
71,50.34852,49.65148
72,50.10734,49.89266
73,49.82471,50.175293
74,49.706207,50.293793
75,49.442913,50.55709
76,49.885094,50.1149
77,50.16352,49.836475
78,49.834743,50.16526
79,50.11868,49.881325
80,50.08833,49.911674
81,50.196075,49.803917
82,49.916264,50.083733
83,49.527515,50.472485
84,49.457943,50.54206
85,50.255306,49.744694
86,50.09938,49.900627
87,49.612347,50.387657
88,50.1084,49.891598
89,49.584045,50.41595
90,49.98056,50.019444
91,50.539623,49.460377
92,49.58581,50.414192
93,49.616425,50.38358
94,49.598183,50.401814
95,49.553253,50.446747
96,49.80572,50.194275
97,49.63216,50.367844
98,49.799343,50.20066
99,49.655003,50.344997
100,50.357933,49.64207
101,49.494553,50.50544
102,50.040436,49.959557
103,49.46243,50.537567
104,49.73407,50.26593
105,49.94247,50.057537
106,49.74855,50.25145
107,50.468956,49.53104
108,49.845875,50.154125
109,50.074623,49.925377
110,50.02314,49.97686
111,50.168385,49.83162
112,49.706856,50.29314
113,49.574245,50.425755
114,50.329697,49.670296
115,50.167446,49.832554
116,49.41673,50.583267
117,50.30883,49.69117
118,49.55834,50.441666
119,49.636833,50.36317
120,50.286327,49.71367
121,50.213993,49.78601
122,49.89182,50.10818
123,50.20563,49.79437
124,50.326286,49.673714
125,49.562603,50.4374
126,49.4885,50.511505
127,50.580936,49.419067
128,50.35203,49.64797
129,49.77276,50.227238
130,49.58711,50.412895
131,50.263035,49.73697
132,49.961082,50.038918
133,50.133102,49.866898
134,49.57471,50.425285
135,50.565838,49.434166
136,49.604366,50.395638
137,49.896515,50.10348
138,49.630795,50.3692
139,49.559296,50.4407
140,49.46118,50.53882
141,50.39198,49.60802
142,50.46395,49.53605
143,49.558086,50.44191
144,50.17006,49.829945
145,49.875935,50.12406
146,50.116795,49.883205
147,50.305836,49.694164
148,49.980373,50.019623
149,50.059616,49.940388
150,50.05826,49.941742
151,49.775417,50.22458
152,49.96703,50.032974
153,50.120968,49.87903
154,50.517284,49.482716
155,49.667828,50.332165
156,50.038136,49.96186
157,49.787777,50.212227
158,49.54853,50.45147
159,49.7966,50.203396
160,49.557117,50.44288
161,49.964146,50.03585
162,49.729206,50.270798
163,49.59091,50.409084
164,50.52294,49.47706
165,49.73229,50.267708
166,49.570683,50.42932
167,50.180836,49.819168
168,49.44678,50.553215
169,49.421043,50.578953
170,49.76379,50.236206
171,50.20041,49.799583
172,49.878864,50.12114
173,50.51657,49.48343
174,49.95151,50.04849
175,49.66018,50.339817
176,49.85657,50.143433
177,50.33827,49.66173
178,49.872536,50.127464
179,50.290535,49.709457
180,49.545128,50.45488
181,49.750347,50.249653
182,49.98393,50.016068
183,50.30435,49.69565
184,50.05454,49.94547
185,49.45871,50.541286
186,50.138557,49.86144
187,50.54174,49.45826
188,50.537754,49.462254
189,49.55212,50.44788
190,50.559937,49.44006
191,49.52957,50.470436
192,50.30404,49.695965
193,49.7139,50.286102
194,50.560326,49.439674
195,49.957325,50.04268
196,50.17502,49.824986
197,50.00386,49.99613
198,49.504505,50.495487
199,50.398277,49.601727
200,49.837936,50.162064
201,50.183475,49.81652
202,49.668907,50.331097
203,49.615604,50.38439
204,50.14317,49.85683
205,49.48584,50.514156
206,49.993183,50.006813
207,49.423218,50.576782
208,49.894672,50.105328
209,50.574738,49.425262
210,49.55479,50.445206
211,49.789043,50.210953
212,50.40763,49.59237
213,49.793682,50.206314
214,49.79076,50.209244
215,49.51309,50.48691
216,49.743465,50.25654
217,49.509933,50.49007
218,50.0233,49.9767
219,50.261776,49.738224
220,50.551956,49.448048
221,50.291588,49.708412
222,49.60666,50.39335
223,50.312977,49.687023
224,49.542454,50.457542
225,49.693867,50.30613
226,49.80284,50.197155
227,49.42129,50.578712
228,50.509834,49.49016
229,50.219513,49.780483
230,49.62487,50.37513
231,50.09007,49.909935
232,49.516632,50.483364
233,50.144352,49.85565
234,50.0277,49.9723
235,49.83086,50.169147
236,50.11853,49.881474
237,49.605225,50.39478
238,50.0887,49.911304
239,49.907562,50.092434
240,50.087376,49.912632
241,50.045906,49.954086
242,49.454086,50.545914
243,49.507225,50.492783
244,49.509777,50.490223
245,49.993782,50.006218
246,49.95018,50.049816
247,49.95669,50.043304
248,50.249893,49.750107
249,49.81057,50.18943
250,49.520485,50.479515
251,49.57332,50.42668
252,50.38485,49.61515
253,49.891724,50.108284
254,50.406857,49.59314
255,50.196743,49.80326
256,49.830383,50.169617
257,49.96032,50.039684
258,50.290443,49.709557
259,50.43698,49.563026
260,49.644817,50.35518
261,49.73208,50.26792
262,49.576675,50.423325
263,49.50521,50.494797
264,49.63889,50.361107
265,49.440895,50.559105
266,50.199753,49.800247
267,49.75348,50.246517
268,49.93859,50.061417
269,49.55103,50.448967
270,50.47353,49.52647
271,50.095264,49.90474
272,50.22475,49.77525
273,50.240456,49.75955
274,49.720554,50.27945
275,50.069374,49.93063
276,50.037647,49.962353
277,50.07377,49.92623
278,49.84659,50.15341
279,50.55182,49.448177
280,49.956806,50.043194
281,50.172062,49.827938
282,49.633278,50.366722
283,49.48969,50.51032
284,50.446968,49.553032
285,49.75137,50.248634
286,49.479904,50.520092
287,49.873524,50.12647
288,50.17731,49.822685
289,49.49351,50.506485
290,50.435467,49.56454
291,49.51223,50.48777
292,50.27059,49.72941
293,50.357555,49.642445
294,50.45148,49.548523
295,50.535275,49.464733
296,50.567204,49.432793
297,50.13946,49.860535
298,50.04565,49.954346
299,50.362335,49.637665
300,50.03976,49.960243
301,49.546486,50.453514
302,50.109505,49.890488
303,49.54023,50.459774
304,49.71682,50.28318
305,50.529243,49.470753
306,50.105537,49.894463
307,49.57186,50.42814
308,49.565548,50.43445
309,49.42324,50.57676
310,49.628593,50.371403
311,49.996986,50.00301
312,49.48603,50.51397
313,50.137787,49.862213
314,49.805878,50.194115
315,49.664883,50.335114
316,49.602627,50.397373
317,50.14397,49.856033
318,50.173504,49.826496
319,50.55186,49.44814
320,49.71916,50.280838
321,49.46342,50.53658
322,50.300644,49.699356
323,50.218845,49.78115
324,49.77019,50.229813
325,50.41681,49.5832
326,49.57794,50.422062
327,49.961613,50.038383
328,49.95209,50.047905
329,49.919014,50.080986
330,49.839203,50.16079
331,49.963917,50.036083
332,50.04359,49.956413
333,50.04419,49.95581
334,50.066566,49.933434
335,49.632442,50.367558
336,50.507515,49.49249
337,49.54678,50.45322
338,49.96959,50.03041
339,49.5215,50.478493
340,50.024002,49.976
341,49.76072,50.239277
342,49.98829,50.01171
343,49.880913,50.11909
344,49.75304,50.24696
345,49.85818,50.14181
346,50.313316,49.686684
347,49.462246,50.537758
348,49.534794,50.46521
349,49.75647,50.243534
350,50.507748,49.49225
351,49.674633,50.32537
352,50.528633,49.47137
353,49.721966,50.278038
354,49.513405,50.4866
355,49.763844,50.23616
356,49.730614,50.269382
357,50.172657,49.82734
358,49.52293,50.47707
359,50.526314,49.47369
360,50.135338,49.864662
361,50.332664,49.66734
362,49.935295,50.0647
363,50.268806,49.7312
364,49.915226,50.08477
365,49.992847,50.007145
366,49.56283,50.437164
367,50.228626,49.77138
368,49.73626,50.26374
369,49.515465,50.48453
370,50.50844,49.49156
371,50.26049,49.739506
372,50.012825,49.98717
373,49.6937,50.3063
374,50.44195,49.55805
375,50.04851,49.95148
376,50.27439,49.725613
377,50.36196,49.638042
378,50.06645,49.933548
379,50.295692,49.70431
380,49.88324,50.11676
381,49.917583,50.082417
382,50.55612,49.44387
383,49.474834,50.525166
384,50.313316,49.686684
385,49.990337,50.009663
386,49.731445,50.268562
387,50.127483,49.872513
388,49.615486,50.384514
389,50.152206,49.84779
390,50.033188,49.96681
391,49.65206,50.347935
392,49.685173,50.31483
393,49.71494,50.285065
394,49.590538,50.409473
395,49.809895,50.1901
396,49.743713,50.256283
397,50.277267,49.722736
398,50.212593,49.787407
399,50.480305,49.519688
400,49.942806,50.05719
401,49.678905,50.321095
402,49.783794,50.216206
403,50.37967,49.620335
404,50.30612,49.69388
405,50.435986,49.56402
406,50.026596,49.973404
407,50.45615,49.54385
408,49.51523,50.48477
409,50.11283,49.887165
410,50.349743,49.650253
411,49.542492,50.457508
412,50.523697,49.4763
413,49.656612,50.343395
414,50.553364,49.446636
415,49.580677,50.41932
416,49.689354,50.310642
417,50.025307,49.97469
418,49.613945,50.386055
419,50.062256,49.937744
420,50.165474,49.83452
421,49.587845,50.412155
422,49.679913,50.320087
423,49.645985,50.354015
424,49.658726,50.341278
425,49.7329,50.267094
426,49.75174,50.248253
427,50.173336,49.826664
428,49.84706,50.152946
429,49.910458,50.089542
430,49.882984,50.117016
431,50.09541,49.904587
432,50.270386,49.729614
433,49.426834,50.573166
434,49.988125,50.01187
435,49.444164,50.555836
436,50.023453,49.976543
437,49.43924,50.56077
438,49.56503,50.43498
439,50.069626,49.930374
440,50.119038,49.880962
441,49.622475,50.37753
442,50.202106,49.797894
443,50.49998,49.500015
444,49.445408,50.554596
445,50.208736,49.791264
446,50.22605,49.773956
447,50.098522,49.90148
448,49.649998,50.35
449,49.983643,50.01635
450,49.980396,50.01961
451,50.28569,49.71431
452,49.812725,50.18727
453,49.44216,50.55784
454,50.042904,49.957096
455,49.867077,50.13292
456,50.115585,49.88441
457,49.507244,50.492756
458,50.460167,49.539833
459,50.374054,49.625946
460,50.458897,49.5411
461,49.76292,50.237083
462,49.668243,50.33176
463,50.110447,49.889545
464,50.404976,49.595024
465,49.850365,50.14964
466,50.02723,49.972775
467,49.581493,50.418507
468,50.24059,49.75941
469,50.186165,49.813835
470,49.808167,50.191826
471,50.33201,49.667995
472,49.84198,50.158016
473,49.729683,50.270317
474,50.142258,49.85774
475,50.467968,49.532036
476,49.903934,50.09607
477,49.419086,50.580914
478,49.656025,50.34397
479,50.007484,49.992508
480,50.195633,49.80437
481,49.80441,50.19559
482,49.855576,50.14442
483,49.677994,50.322002
484,50.549465,49.45053
485,49.742687,50.257313
486,49.889652,50.11034
487,49.703876,50.296127
488,50.28389,49.716114
489,49.599056,50.400944
490,49.876217,50.123787
491,50.209743,49.790253
492,49.490368,50.509632
493,49.773937,50.226063
494,49.94127,50.058727
495,50.281494,49.718506
496,49.50523,50.494766
497,50.19142,49.80858
498,50.251072,49.748928
499,49.965935,50.034065
500,50.28416,49.715836
501,50.527214,49.47279
502,50.129353,49.870647
503,50.56284,49.437164
504,50.29103,49.70896
505,50.156178,49.843822
506,49.71261,50.28739
507,50.053383,49.94662
508,49.9509,50.049095
509,50.440193,49.559807
510,49.432335,50.56766
511,49.497284,50.502716
512,49.740055,50.25995
513,50.518864,49.481133
514,49.81558,50.18442
515,50.278137,49.721863
516,49.719593,50.28041
517,49.802036,50.19796
518,50.31022,49.689785
519,50.099518,49.900482
520,50.40367,49.596333
521,50.048203,49.951805
522,50.21764,49.782352
523,50.511616,49.48838
524,49.98788,50.012123
525,50.379246,49.620747
526,50.02402,49.97598
527,50.352264,49.64773
528,50.13774,49.86226
529,49.59768,50.40232
530,50.31871,49.681282
531,49.860664,50.13933
532,49.81142,50.188583
533,49.6443,50.3557
534,49.987648,50.012352
535,49.42703,50.572975
536,50.41738,49.582615
537,50.088226,49.91177
538,49.69308,50.306923
539,50.38715,49.612854
540,49.90274,50.097263
541,50.33667,49.663326
542,49.5069,50.493103
543,49.91614,50.08386
544,50.2378,49.762207
545,49.531044,50.468956
546,49.878,50.121998
547,50.460403,49.5396
548,49.959938,50.040062
549,49.789448,50.210552
550,50.257675,49.74233
551,49.69179,50.308216
552,49.830467,50.169533
553,49.731564,50.26843
554,50.282948,49.71705
555,50.28254,49.717457
556,49.672688,50.327312
557,50.388176,49.61183
558,50.38653,49.61347
559,50.026543,49.973454
560,49.8307,50.1693
561,49.65704,50.34296
562,49.86952,50.130486
563,50.267376,49.732624
564,49.894707,50.105293
565,50.19671,49.803295
566,50.268894,49.731106
567,50.217068,49.782936
568,50.00653,49.99347
569,49.742928,50.25707
570,50.484627,49.51537
571,49.615173,50.38483
572,49.454353,50.54565
573,50.157093,49.842907
574,50.44345,49.55655
575,50.185143,49.814857
576,49.771454,50.228546
577,50.24423,49.75577
578,49.743347,50.256657
579,50.577946,49.42206
580,49.86942,50.130577
581,50.08657,49.913437
582,50.146572,49.853428
583,49.65567,50.34433
584,49.518253,50.48175
585,49.81955,50.180454
586,49.674816,50.325184
587,50.44363,49.55637
588,49.96998,50.03002
589,49.884476,50.115524
590,50.515102,49.48489
591,49.572166,50.427837
592,50.117348,49.882652
593,50.008595,49.991405
594,49.68765,50.312347
595,50.0819,49.9181
596,50.287457,49.712543
597,50.06927,49.930725
598,50.2923,49.707695
599,50.459652,49.540348
600,50.00352,49.996475
601,50.255066,49.744938
602,50.53122,49.468777
603,50.56784,49.432156
604,50.13366,49.866344
605,50.543888,49.45612
606,49.853714,50.146282
607,49.5972,50.4028
608,50.547367,49.452637
609,50.414215,49.585785
610,49.65635,50.34365
611,49.825237,50.17476
612,50.053047,49.946957
613,49.90877,50.091225
614,50.369423,49.63058
615,49.8091,50.190903
616,49.675625,50.324375
617,50.07138,49.92862
618,49.981136,50.01887
619,49.708508,50.29149
620,50.500996,49.499
621,49.843018,50.156982
622,49.812405,50.187595
623,50.258064,49.741932
624,50.19487,49.80513
625,50.543606,49.456387
626,50.478817,49.521183
627,49.73642,50.263584
628,49.637817,50.362183
629,50.396793,49.603207
630,50.340294,49.65971
631,49.866837,50.133167
632,50.441486,49.558514
633,49.462696,50.5373
634,50.426346,49.57365
635,50.548912,49.45109
636,50.522583,49.477417
637,49.62893,50.371067
638,49.992237,50.007767
639,50.298244,49.70175
640,49.44643,50.553574
641,50.0189,49.9811
642,49.58024,50.41976
643,50.13982,49.86018
644,50.56833,49.431667
645,49.566273,50.433723
646,49.4803,50.51969
647,49.893272,50.106724
648,49.83881,50.16119
649,49.891205,50.10879
650,50.40856,49.59144
651,50.365944,49.63406
652,49.61239,50.387615
653,50.03453,49.965477
654,49.862816,50.137184
655,50.291943,49.70806
656,49.77094,50.22906
657,49.91886,50.081146
658,50.36815,49.631855
659,50.579826,49.420174
660,50.248856,49.751144
661,50.256496,49.743504
662,50.439888,49.56012
663,49.622883,50.377117
664,49.63367,50.366337
665,50.49676,49.50324
666,50.352596,49.647396
667,49.654312,50.345688
668,49.76017,50.239838
669,50.303524,49.69648
670,50.156075,49.84393
671,49.566555,50.433445
672,50.571186,49.428818
673,50.162487,49.83751
674,49.57596,50.424046
675,49.57953,50.420475
676,50.09116,49.908844
677,49.881203,50.118805
678,49.867085,50.13291
679,50.349056,49.650948
680,50.447346,49.552658
681,49.60265,50.397346
682,50.290264,49.709736
683,50.3774,49.622604
684,50.412495,49.58751
685,50.580257,49.41974
686,50.487804,49.51219
687,50.035625,49.96437
688,50.232548,49.767452
689,49.98118,50.018818
690,49.69778,50.30222
691,50.188923,49.811073
692,50.5107,49.4893
693,49.557808,50.442196
694,49.68826,50.311745
695,49.558674,50.44133
696,49.65678,50.343216
697,49.642765,50.357235
698,49.75215,50.24785
699,50.188904,49.811096
700,50.272644,49.727356
701,49.639004,50.360996
702,50.007957,49.992046
703,49.509956,50.490044
704,50.316395,49.683605
705,49.700233,50.29977
706,49.690964,50.309036
707,49.73552,50.264484
708,49.46782,50.53218
709,49.725704,50.274296
710,49.842335,50.157665
711,49.72683,50.273174
712,49.89422,50.10578
713,49.647873,50.35212
714,50.09949,49.9005
715,49.871044,50.128956
716,50.38018,49.619816
717,49.979637,50.020355
718,49.74774,50.25226
719,49.641132,50.358875
720,50.065685,49.93431
721,50.095303,49.9047
722,50.11462,49.885376
723,49.910778,50.089222
724,50.39015,49.609844
725,50.29691,49.70309
726,49.93621,50.06379
727,50.226612,49.773388
728,49.63877,50.36122
729,50.336437,49.663563
730,49.743195,50.2568
731,50.300205,49.699802
732,50.229424,49.77058
733,50.382977,49.617027
734,50.41378,49.58622
735,50.112488,49.887512
736,49.858135,50.141865
737,50.495922,49.504078
738,49.76248,50.23752
739,49.939495,50.060505
740,50.370247,49.62976
741,50.0656,49.934395
742,49.6801,50.319904
743,49.711575,50.288425
744,50.030106,49.969894
745,50.119633,49.880363
746,49.94638,50.053627
747,49.445026,50.554974
748,50.16791,49.832085
749,49.509464,50.490536
750,49.65198,50.34802
751,49.8028,50.1972
752,49.68921,50.31079
753,49.992695,50.007313
754,49.506298,50.493706
755,50.19408,49.80592
756,49.73741,50.262596
757,50.408417,49.591587
758,50.292633,49.707367
759,49.65915,50.340855
760,50.365955,49.63404
761,50.505806,49.494194
762,49.773045,50.22695
763,49.50997,50.490032
764,50.21305,49.786953
765,49.716877,50.283123
766,49.577118,50.42288
767,49.724525,50.275467
768,49.474102,50.52589
769,50.218117,49.781883
770,50.011433,49.988564
771,50.002052,49.99795
772,49.46436,50.535637
773,49.685555,50.314445
774,49.603195,50.3968
775,49.445732,50.554268
776,49.959984,50.04002
777,49.7511,50.2489
778,49.499844,50.50016
779,50.297813,49.702187
780,49.872993,50.127007
781,50.47657,49.523438
782,50.021698,49.978302
783,49.669594,50.3304
784,49.645294,50.354706
785,50.30156,49.69845
786,49.776695,50.22331
787,50.409687,49.59031
788,49.608402,50.3916
789,49.82913,50.170868
790,49.78511,50.214893
791,49.784134,50.21587
792,50.223804,49.776196
793,49.79137,50.20863
794,50.103252,49.89675
795,50.169205,49.8308
796,50.44506,49.554935
797,50.404186,49.595814
798,50.402653,49.59735
