,Divorced,Married,Parther,Separated,Never,Widowed
0,31.960875,21.587389,15.164846,19.238909,6.1135178,5.9344645
1,2.06624,79.105675,3.0525692,11.9285555,2.5409236,1.3060366
2,2.7987175,1.8444875,86.335594,2.4924545,5.419996,1.1087488
3,88.788445,2.1079745,3.3265705,2.7561805,1.0655005,1.955331
4,2.037023,11.526714,2.7703495,68.58582,13.128363,1.9517196
5,72.50656,10.924013,4.830707,7.2373333,1.6297685,2.8716178
6,3.1928544,2.1068046,85.95632,2.4831069,5.026799,1.2341154
7,0.9651836,2.0513844,6.851618,11.353882,76.72991,2.0480294
8,4.050517,2.9171104,62.449,6.7162647,20.183475,3.6836393
9,1.567404,1.606618,1.4717735,2.83945,3.6216867,88.89307
10,3.2200556,12.457243,3.7473242,61.365986,13.377333,5.83206
11,37.489613,13.819006,10.542854,19.469456,6.8864717,11.792604
12,2.1615798,4.1959977,19.855364,12.84327,55.835907,5.107871
13,1.780394,25.657835,3.864107,54.58566,11.707223,2.4047759
14,1.8645804,8.443861,3.0268676,68.577156,15.808363,2.2791717
15,2.6397932,82.43136,2.1130905,9.552592,1.6862038,1.5769608
16,1.1519692,2.3243942,5.464904,11.346225,70.67492,9.037591
17,89.387115,2.1046638,3.4042206,2.0381804,0.78193647,2.283891
18,62.862785,17.030722,5.986679,7.936674,1.8614447,4.3217072
19,1.8667374,16.030655,2.3665526,67.420555,9.19209,3.1234055
20,6.9393954,4.379098,57.535408,8.090603,16.493528,6.561972
21,2.6800048,78.997826,1.630206,12.886004,1.8581052,1.9478532
22,2.428418,82.50593,1.918458,9.949962,1.672402,1.5248429
23,3.0443473,73.16212,2.3392785,14.605808,2.8246381,4.0238037
24,2.275055,82.786644,2.0441568,9.528412,1.7645544,1.601182
25,13.676522,3.9263122,69.57808,4.363213,5.334184,3.1216881
26,1.6989378,3.2374084,9.432482,15.3897,66.60374,3.6377296
27,2.3185496,33.942013,8.482604,30.959637,18.158434,6.1387634
28,81.13734,2.882417,6.833122,3.6735091,1.8686844,3.6049314
29,2.90578,2.9639668,71.61177,5.842554,14.742322,1.9336008
30,2.8773088,80.95668,1.8702624,10.576527,1.7068036,2.0124297
31,2.7635868,7.303928,1.8988967,10.5554285,6.350026,71.12813
32,2.8365693,2.024765,83.20632,3.2773864,7.1242795,1.5306797
33,3.1254604,1.4870691,1.6319461,2.2300026,2.6263864,88.89914
34,1.7887573,2.608675,9.993602,13.657655,68.52174,3.4295738
35,0.6614714,1.7385612,5.039769,8.455282,81.7972,2.3077157
36,2.6660643,80.53106,1.9649798,11.000266,1.8484514,1.9891722
37,1.9303819,13.739246,2.1536303,67.950516,11.814637,2.4115963
38,2.6569037,3.3603826,16.753242,15.314339,58.17939,3.7357461
39,1.8366649,75.58984,3.3185973,13.918281,3.4800406,1.8565645
40,3.383178,64.089874,3.9543312,21.948584,4.1722274,2.4518018
41,2.8869224,1.8432786,84.30157,3.0134478,6.8773828,1.0774052
42,2.2612758,82.21884,2.1884809,9.7987795,1.8677046,1.664914
43,2.8956928,81.50809,2.2265756,9.861904,1.7310733,1.7766654
44,3.3037443,79.3271,2.3239906,11.766926,1.8402494,1.4379864
45,1.8042525,81.97812,1.9035525,11.1294365,1.9355273,1.2491075
46,1.7931452,78.34599,2.6870925,12.167901,2.9053164,2.100549
47,8.788827,34.533398,7.708201,32.762207,8.260991,7.9463778
48,0.70991886,2.1470392,4.0749574,11.59345,78.73555,2.7390888
49,0.6855214,1.7651484,6.2022367,8.661626,79.67528,3.010189
50,3.353725,1.9445248,84.21963,2.7473068,6.6540384,1.0807794
51,4.576192,4.2538757,2.5586524,9.517704,6.816698,72.27688
52,2.184475,30.875704,4.536093,50.247677,10.006878,2.1491857
53,3.9994545,78.145096,2.7534153,11.113038,1.9767523,2.012241
54,5.889197,73.19895,2.6508505,13.610615,2.0653105,2.5850763
55,0.990477,2.0986354,5.23569,10.552302,73.97104,7.1518464
56,3.4103718,61.51993,8.23151,17.387245,6.1480937,3.3028462
57,4.077614,67.10376,3.2525008,16.769012,3.5776906,5.2194242
58,2.179279,82.89472,1.9391487,9.628639,1.7570995,1.6011164
59,1.9163402,13.234117,2.1673355,72.25777,7.870939,2.5535078
60,0.62646955,2.140416,5.5529823,10.1229515,78.83299,2.7241805
61,2.5222425,3.701959,1.4124395,6.5176067,4.466648,81.379105
62,3.44438,2.1366472,85.59014,2.572323,5.167729,1.088779
63,1.937395,82.50164,1.8048264,10.4580765,1.8191267,1.4789424
64,89.46186,2.7039313,3.083359,2.2425177,0.72677493,1.781557
65,2.2569475,81.104034,2.1382353,11.381745,1.8973205,1.2217203
66,1.8745843,82.64374,2.065973,10.026458,1.9387438,1.4504993
67,2.4842446,77.3723,1.5697055,14.630333,2.013177,1.9302375
68,3.1559858,2.0805335,84.84466,2.7592926,6.1255865,1.0339595
69,6.986829,3.442057,73.91468,5.527586,7.862781,2.2660744
70,2.0129976,75.93077,1.8684866,16.180506,2.438293,1.5689387
71,0.65343386,1.8286396,5.1847453,9.094782,80.50709,2.7313147
72,3.9907722,2.1743267,83.21263,2.6860821,6.7881083,1.1480815
73,7.5614734,12.468128,11.104738,46.08473,17.663294,5.11764
74,3.2831035,58.217854,5.345561,24.315016,5.84045,2.9980178
75,5.828499,23.289974,5.108871,28.720856,10.789251,26.262548
76,4.6838613,26.841366,11.417912,38.304043,14.226588,4.526236
77,5.6322446,36.598076,4.6169147,44.054634,6.0981555,2.999972
78,3.531522,1.7376702,81.93358,2.7322752,7.974986,2.0899613
79,0.78865874,1.7571682,6.974383,9.336337,78.911476,2.2319722
80,1.8760588,82.274185,1.972417,10.43683,1.9441675,1.4963416
81,3.9399989,7.1987977,2.6848116,14.44998,8.709259,63.017155
82,2.7468216,80.13214,1.8447418,10.863755,1.8662041,2.5463388
83,19.135643,9.116782,38.547417,15.060687,11.900382,6.2390957
84,2.8288958,78.74678,1.5805076,13.094751,1.8045428,1.9445201
85,4.1944675,75.548386,2.361336,13.424611,2.0991826,2.3720007
86,1.5830305,1.6867075,1.1877382,2.948843,2.94997,89.643715
87,82.4795,4.687882,4.721273,3.5501375,1.2451755,3.3160257
88,0.6815328,1.8625153,6.557955,9.4386835,78.833755,2.6255531
89,2.5161855,81.49088,2.2271495,10.073591,1.8685317,1.8236578
90,10.79932,6.405299,52.372204,10.592606,13.545479,6.285094
91,0.7126899,1.9245435,6.501028,9.930262,78.76699,2.1644912
92,89.91382,2.5391774,2.8202863,2.3223286,0.7607819,1.6435912
93,2.5286908,82.41467,2.0339742,9.593518,1.7183367,1.710805
94,89.83716,1.9825267,3.404053,2.074271,0.81015813,1.8918341
95,0.6491558,2.1819286,5.5073667,9.617337,78.79838,3.2458346
96,2.308659,80.2468,1.5617416,12.387026,1.8011848,1.6945934
97,7.758241,17.518599,4.430411,38.428093,10.871395,20.99327
98,5.93193,3.9403467,3.722114,8.706606,7.5692906,70.129715
99,1.721007,70.04025,2.3092341,20.993467,3.5125043,1.4235363
100,0.64366204,1.9872092,6.2146983,9.501504,78.698975,2.9539526
101,84.05598,3.661745,3.6825695,3.514176,1.2564278,3.8290906
102,2.4859047,81.53492,1.8409185,11.080702,1.6939476,1.3636178
103,7.0408263,23.180853,31.591978,21.67196,12.9367485,3.5776303
104,0.6938543,1.7062619,4.663827,8.399879,81.99393,2.5422494
105,2.9967995,10.54297,12.2938385,28.649494,37.55281,7.964096
106,1.7856115,69.279655,2.680716,20.414341,3.9694395,1.8702415
107,1.833819,79.00314,1.6473069,13.998837,2.11241,1.4044845
108,4.4004965,3.5483594,31.897423,11.949997,41.86298,6.3407397
109,1.9172255,67.25147,2.1551116,23.765724,3.4662821,1.4441882
110,3.5003948,1.3841729,1.8676428,2.4208174,3.058258,87.768715
111,1.9530736,78.47632,3.1202424,12.148793,2.7876906,1.5138751
112,90.17888,2.1392016,2.945724,1.9982783,0.72963774,2.0082805
113,52.17591,5.4929805,18.444916,11.099603,6.9036713,5.882921
114,2.5130002,1.8141054,84.55239,2.9243267,7.0616455,1.1345308
115,3.3337002,80.29899,1.9121542,10.982453,1.6419973,1.8307056
116,2.7120214,81.918976,1.9582173,9.858433,1.696438,1.8559241
117,4.508108,57.757473,5.4760303,25.73511,4.666215,1.8570572
118,2.7555215,81.85982,1.9349419,10.260982,1.6378095,1.5509303
119,71.988396,6.901949,7.1473145,7.965322,2.57366,3.4233522
120,2.3131633,13.927311,2.843854,69.88848,9.2644615,1.7627332
121,1.8963432,80.31195,1.6253839,12.876703,1.9354509,1.3541636
122,0.69392496,1.6914834,5.313285,8.715546,80.78203,2.8037248
123,2.163058,81.73233,1.8035123,10.940648,1.8065274,1.5539191
124,2.5129707,19.556274,3.169032,64.826294,8.233133,1.7022918
125,2.5901144,80.84334,2.1536915,11.100684,1.845578,1.4665974
126,17.221302,7.596211,48.8476,12.657264,10.265444,3.4121866
127,2.3319702,65.85457,2.5354497,23.959892,3.5763013,1.7418222
128,6.0327973,54.892857,7.9881005,22.04842,5.580198,3.4576297
129,20.025064,43.188686,7.469976,20.752932,4.055314,4.5080366
130,1.849786,9.96836,2.1247451,74.48184,9.065923,2.5093415
131,90.12137,1.9176213,3.0409007,2.2413821,0.85934365,1.8193858
132,8.906264,11.733877,29.869339,27.797832,18.47728,3.2154207
133,3.442814,5.6818304,16.120481,21.862122,47.091297,5.8014526
134,18.12744,5.5767717,52.821423,6.9119415,8.450705,8.111723
135,3.747784,77.2727,3.185035,11.864846,2.2015738,1.7280606
136,2.4268742,81.02109,2.074432,10.3537245,1.9686384,2.1552408
137,6.342843,16.243168,40.169285,18.24503,15.116941,3.8827386
138,6.888725,41.15251,3.0538034,17.97263,4.638467,26.293865
139,4.29606,51.777554,2.1934793,24.419262,4.638241,12.67541
140,0.7291848,1.7091062,5.7105503,9.470165,79.675835,2.7051618
141,3.8054042,74.219315,4.002502,12.992141,2.7940662,2.1865711
