,Q1,Q3,Q4,Q2
0,25.058079,25.474337,24.42707,25.040522
1,24.980473,24.789778,25.413721,24.816029
2,25.14315,25.173462,24.466436,25.216957
3,25.042313,24.737133,25.269264,24.951294
4,24.822906,24.988482,25.226599,24.962015
5,25.165186,25.162529,24.515808,25.156477
6,24.818958,24.644875,25.661093,24.875074
7,24.785156,24.920488,25.40009,24.894262
8,25.150454,25.417837,24.362654,25.069061
9,25.233137,24.96954,24.789219,25.008102
10,25.212708,25.43905,24.367157,24.981075
11,25.168356,25.056536,24.779081,24.99603
12,25.223425,25.164297,24.799881,24.812393
13,25.117222,25.259995,24.412455,25.210337
14,25.064543,24.658539,25.198803,25.078117
15,25.164145,25.013023,24.627106,25.19573
16,25.268492,25.12172,24.663721,24.946074
17,24.981388,24.713427,25.466675,24.83851
18,24.897076,24.51245,25.595123,24.995356
19,25.178444,25.44596,24.353624,25.021978
20,25.097462,25.203112,24.45619,25.243238
21,25.052685,25.415909,24.66604,24.865358
22,25.085747,25.489962,24.447187,24.977104
23,25.03287,24.880812,25.339968,24.746357
24,24.969934,25.29307,24.923817,24.813177
25,24.909887,25.33428,24.821018,24.93482
26,25.106192,25.327742,24.385973,25.180096
27,24.902487,24.782703,25.27552,25.039288
28,24.96647,24.63018,25.268274,25.13507
29,25.08033,25.457972,24.367662,25.094032
30,25.064798,24.865873,25.234287,24.835045
31,25.098953,25.48201,24.386873,25.032166
32,25.25897,25.329548,24.400688,25.010788
33,24.914116,24.581,25.393778,25.111103
34,25.243425,25.290936,24.434647,25.03098
35,24.742912,24.814987,25.501144,24.940964
36,25.00486,25.32985,24.47019,25.195105
37,24.814209,24.665546,25.641653,24.878592
38,25.244001,25.33783,24.375204,25.042967
39,24.8025,24.664362,25.543043,24.990103
40,24.995895,25.313684,24.534197,25.156227
41,25.108093,24.790209,25.250023,24.851675
42,24.904743,24.70568,25.531118,24.858456
43,25.06723,25.492281,24.445898,24.994596
44,25.154287,25.382736,24.343813,25.119165
45,24.823332,24.5485,25.677412,24.950752
46,24.859486,24.56903,25.473574,25.09791
47,25.194242,24.92956,24.761974,25.114214
48,25.207857,25.328445,24.486172,24.977524
49,24.926966,24.580193,25.488556,25.004292
50,25.231346,25.208685,24.466675,25.0933
51,25.230736,25.384352,24.412697,24.972214
52,25.141674,25.405106,24.354956,25.09826
53,24.930368,25.337929,24.834146,24.897558
54,25.018513,25.261599,24.75703,24.962858
55,24.83247,24.972168,25.356087,24.839272
56,24.810827,24.619276,25.692854,24.87704
57,25.101543,25.44497,24.350931,25.102564
58,25.276016,25.06904,24.688131,24.96681
59,25.155016,25.085073,24.967588,24.792316
60,25.084648,25.30151,24.52342,25.090424
61,25.157372,25.18113,24.506426,25.155077
62,25.172632,25.467672,24.461952,24.897738
63,24.857754,24.9699,25.385757,24.786585
64,24.957579,25.345797,24.71035,24.986275
65,25.020037,24.718657,25.434605,24.826704
66,24.9595,24.66235,25.221222,25.156927
67,25.092379,25.478205,24.484188,24.945236
68,25.23078,25.409794,24.380447,24.978989
69,25.166208,25.355799,24.338083,25.139908
70,24.876556,24.533161,25.537909,25.052374
71,25.259653,25.347736,24.420116,24.972492
72,25.002632,25.18871,24.806883,25.001774
73,24.84432,24.98736,25.284153,24.88416
74,24.8649,25.07712,25.169668,24.888311
75,24.972244,25.428719,24.550795,25.048246
76,25.254023,24.945763,24.859425,24.940786
77,25.048416,24.873238,25.327679,24.750666
78,24.770607,24.662996,25.651165,24.915236
79,25.033974,25.41597,24.694288,24.855772
80,24.969213,24.819225,25.061264,25.1503
81,25.051334,25.440737,24.592402,24.915525
82,25.095385,24.80226,25.316143,24.786217
83,24.992634,24.831598,25.389448,24.78632
84,24.850044,24.914783,24.968977,25.266193
85,24.868685,25.095528,24.947517,25.088268
86,24.890774,24.52361,25.645252,24.940367
87,24.861773,24.692226,25.63768,24.80832
88,24.853443,24.518858,25.6613,24.966406
89,25.110758,25.01832,24.611824,25.259098
90,25.027832,25.206455,24.582994,25.182714
91,24.97367,25.377777,24.726604,24.92195
92,25.240294,25.051447,24.688898,25.019356
93,25.117544,25.43913,24.589245,24.854078
94,24.7656,24.640018,25.660357,24.934023
95,25.296926,25.144953,24.591976,24.966139
96,24.827755,25.201357,24.926004,25.044886
97,25.054867,25.37944,24.404495,25.161198
98,24.928839,24.682865,25.171253,25.217045
99,24.7671,24.59218,25.61041,25.03031
100,25.067884,25.338428,24.550945,25.042742
101,25.028244,25.304192,24.627403,25.040165
102,24.886385,24.661388,25.538486,24.913736
103,25.091919,25.434748,24.412788,25.060543
104,25.097672,24.64783,25.229532,25.024965
105,25.151953,25.066502,24.581812,25.19973
106,25.027725,24.666994,25.169329,25.135956
107,25.239124,25.098492,24.774616,24.887766
108,24.82891,24.545603,25.69077,24.934711
109,25.250057,25.029198,24.628357,25.092388
110,24.874172,24.620962,25.615675,24.889189
111,25.239164,25.22833,24.707325,24.825182
112,24.935558,24.639734,25.21733,25.207373
113,25.000435,24.732937,25.0923,25.174328
114,24.988028,25.031466,25.205067,24.775436
115,24.890436,25.288063,24.888138,24.933361
116,24.965786,24.660463,25.161556,25.212193
117,24.958235,24.842215,25.355997,24.843557
118,25.15546,24.7908,24.911972,25.141768
119,25.052912,25.008217,25.070986,24.86789
120,24.991257,25.216623,24.886127,24.905993
121,25.207333,25.095743,24.87864,24.818287
122,25.22191,25.41726,24.437075,24.923754
123,25.076496,24.723587,25.03084,25.169077
124,24.816833,24.65403,25.639486,24.889656
125,25.16751,25.404907,24.531237,24.896355
126,24.760195,24.946798,25.330648,24.96235
127,24.9164,24.821032,25.487661,24.77491
128,25.272264,25.296888,24.473513,24.957333
129,25.2783,25.097647,24.665758,24.95829
130,25.135777,25.435194,24.329657,25.099373
131,25.269487,25.208933,24.595304,24.926271
132,24.826067,24.676138,25.522253,24.975548
133,25.133896,25.368935,24.688421,24.80874
134,25.255928,25.31219,24.556725,24.875164
135,25.002426,24.869907,25.276726,24.850939
136,25.07774,25.469997,24.438467,25.013796
137,25.04592,25.223866,24.688585,25.041637
138,25.234478,25.195732,24.590298,24.979486
139,25.134594,25.38236,24.334757,25.148296
140,25.100458,24.888132,25.193024,24.81839
141,24.924286,24.52729,25.51642,25.032007
142,25.140438,25.290457,24.37461,25.194492
143,25.180605,25.412104,24.361382,25.045908
144,24.993359,24.553684,25.413519,25.03944
145,25.116602,24.75132,25.081099,25.050974
