,White,Black,Mexican,Other,Hispanic
0,15.7540245,9.1203575,16.767176,23.96657,34.391872
1,66.57223,7.3104424,16.489183,4.6767893,4.951358
2,69.39521,4.999206,14.599809,4.132987,6.872786
3,11.581803,18.558804,12.331425,34.881218,22.646751
4,19.73183,8.317303,35.425858,14.056274,22.468727
5,8.4092245,5.5443144,22.107977,17.698645,46.239834
6,35.298843,6.3962536,45.824455,5.9648485,6.515596
7,66.94289,9.0578575,15.345189,4.172682,4.481393
8,16.594257,4.7929993,56.091125,7.466474,15.055151
9,5.063349,42.575115,6.2990465,35.369843,10.692642
10,5.050355,3.5576901,7.6552043,16.966652,66.7701
11,3.252063,12.162312,6.219255,63.493145,14.873227
12,6.025016,73.43299,4.859078,10.251039,5.4318757
13,6.9115252,30.559753,10.919028,36.116653,15.493038
14,7.4244103,44.95981,9.6937685,25.828615,12.093394
15,5.40034,35.381798,7.650581,36.773685,14.793602
16,5.462811,3.8796756,15.988037,18.622759,56.04672
17,4.319626,4.449845,6.8447056,18.625153,65.76067
18,60.270714,4.6218133,24.494448,3.997436,6.615595
19,7.119883,68.18301,5.7998466,12.788968,6.108299
20,14.074781,66.18276,6.908699,8.448144,4.385619
21,52.281475,7.4717736,27.347183,4.9165463,7.9830246
22,3.7156508,4.1732183,6.5890684,31.337082,54.184975
23,54.118687,5.843697,20.804632,7.4440413,11.78894
24,7.595998,73.62097,6.6939726,7.7295036,4.3595524
25,12.943222,69.839294,6.2200704,7.1056285,3.8917854
26,8.138571,75.08107,5.3217454,7.5540953,3.9045177
27,13.068816,4.92155,65.48911,8.103279,8.417247
28,23.261251,20.003628,39.560844,8.738186,8.436087
29,70.637825,6.199292,12.026393,4.2597013,6.8767786
30,9.20087,4.368869,9.320723,15.14021,61.96933
31,8.452481,5.625751,11.88232,13.765695,60.27376
32,61.0747,5.133965,23.456814,4.2389283,6.095598
33,66.05014,10.737008,10.286545,5.3706074,7.5556884
34,6.053418,74.01315,6.163557,9.688856,4.0810165
35,19.584488,13.703878,26.663988,23.918987,16.128662
36,6.636499,74.018906,4.4364686,10.549635,4.3584757
37,50.105564,5.7400227,33.465523,4.5124187,6.176483
38,18.084114,34.559948,28.235834,12.18228,6.93783
39,10.304136,6.9297037,58.99778,12.5501995,11.218182
40,12.8805,12.604429,36.763428,22.595558,15.15609
41,7.586398,5.696277,28.585064,29.296774,28.835491
42,4.0456123,3.737939,7.0220523,16.88406,68.31033
43,59.324455,9.716921,18.704617,4.680405,7.573601
44,70.53616,8.434645,13.431059,3.4601834,4.137942
45,72.39395,5.428989,13.84066,3.3383694,4.998026
46,69.678665,8.919993,11.565642,4.6203394,5.21535
47,11.028027,4.330782,64.75807,8.638678,11.244438
48,43.762295,23.297865,21.810358,5.7628827,5.3666058
49,13.715882,13.83473,37.549347,17.187708,17.712324
50,8.6944275,9.676829,41.62171,25.386211,14.620817
51,11.567608,6.121878,45.126385,16.933233,20.25089
52,24.550922,3.6774607,54.22589,6.1830325,11.362694
53,6.3262024,17.768118,10.45856,38.697094,26.750025
54,15.399801,5.3713617,36.189747,18.236517,24.802578
55,41.924156,7.9107294,24.995216,7.996204,17.173695
56,29.574087,5.189152,49.79517,5.833267,9.608324
57,43.288498,11.685529,18.487368,12.280243,14.258364
58,69.56023,10.102936,11.771881,4.0154133,4.5495386
59,10.475901,43.148453,9.153133,21.846193,15.376321
60,40.621845,7.2317696,22.733013,9.072631,20.340742
61,44.099358,4.4153695,36.47158,5.5884705,9.425212
62,69.7105,6.574908,14.053117,3.6732562,5.9882174
63,66.4827,8.025442,13.021222,4.835714,7.634928
64,41.250217,10.1984825,20.950497,10.046566,17.554235
65,68.74265,8.327424,10.9512005,4.9860196,6.9927135
66,57.947834,8.430404,21.192493,5.34424,7.0850315
67,68.70473,7.3868594,15.564428,3.9959881,4.347995
68,71.257324,5.885351,14.448563,3.4075863,5.001171
69,7.3299356,75.43404,5.613206,7.7968574,3.825974
70,3.327422,6.221395,7.163175,64.93483,18.35317
71,5.37672,3.6006272,10.978264,14.879338,65.165054
72,14.320729,10.6531105,57.113003,9.722419,8.190739
73,33.37087,6.699721,49.59342,4.7655044,5.5704823
74,68.491844,5.222604,14.361957,4.3516083,7.5719833
75,5.9775376,3.3672073,8.979162,16.975353,64.70074
76,66.1789,5.5255065,18.486462,3.7990615,6.010071
77,60.172623,7.6402655,14.908978,6.2463026,11.031827
78,18.59779,5.6276593,17.509336,13.99933,44.26588
79,14.740537,57.98005,6.5616407,12.295768,8.422012
80,5.0612206,14.604415,10.712313,56.480606,13.141452
81,2.9333887,7.448387,6.042954,64.88473,18.690546
82,6.0035605,3.7772856,9.208257,15.099255,65.911644
83,7.6416545,75.1859,5.738808,7.377487,4.0561523
84,12.415939,6.5678873,57.916504,9.639678,13.460005
85,63.33815,13.880952,11.715675,5.584819,5.480396
86,43.47908,21.353603,13.7938,12.165703,9.207817
87,27.191713,48.337635,11.802986,7.927521,4.7401485
88,9.662665,70.67021,5.9917464,8.878986,4.796389
89,12.150674,4.0302715,66.40659,7.065781,10.346679
90,5.329094,75.344734,4.5555,10.138455,4.632208
91,67.35248,9.324977,15.738964,3.4059718,4.177601
92,5.9499707,74.95194,5.6686316,9.442603,3.9868507
93,11.083879,20.694683,13.451349,22.902788,31.867304
94,15.416227,4.5680966,67.155716,5.480399,7.3795614
95,14.569322,5.7721634,65.457825,6.800335,7.4003563
96,17.67399,10.324116,42.961605,13.181451,15.858846
97,62.328266,5.9078445,22.013105,4.344149,5.4066367
98,65.03154,8.921968,11.621961,5.2478886,9.176638
