,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0
1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0
2,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0
3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
4,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0
5,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
6,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
7,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
8,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1
9,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0
10,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1
11,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0
12,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1
13,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
14,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0
15,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
16,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0
17,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0
18,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
19,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
20,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0
21,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1
22,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1
