,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1
1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0
2,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1
3,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
4,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
6,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1
7,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1
8,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
9,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
10,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
11,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1
12,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
13,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
14,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
15,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
16,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1
17,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
18,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1
19,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0
20,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0
21,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1
22,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
23,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1
24,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0
25,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1
26,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1
27,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1
28,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0
29,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
30,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1
31,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
32,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1
33,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1
34,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0
35,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
36,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0
37,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1
38,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1
39,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
40,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0
41,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1
