,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
2,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1
3,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0
4,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0
5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
6,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
7,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1
8,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0
9,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1
10,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1
11,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0
12,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
13,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
14,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0
15,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
16,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1
17,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
18,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1
19,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
20,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1
21,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1
22,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
23,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
24,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
25,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1
26,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1
27,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1
28,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1
29,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0
30,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
31,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1
32,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0
33,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0
34,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
35,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
36,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1
37,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
38,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
39,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
40,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0
41,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1
42,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1
43,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
44,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1
